STAID,LOCAL,DATES,TIMES,MEDIM,STYPE,SAMPL,LABNO,HUNIT,GUNIT,PRJCT,LATDD,LNGDD,CNTYC,DATTD,DATTM,GUERA,GUNNM,GUSER,GUSYS,HDATM,SALTD,SNAME,VDATM,MAJRIVBAS,WELLUSE,WELLCOMPIN
423322076143802,C1461,20071205,0900,WG,9,00800434,3410123,041402011002,112SDGV,2457LB32E,42.55611111,-76.24388889,023,200712050900 EST,200712050900,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1259.9,C1461,NGVD29,Central NY,Production,Sand and Gravel
423322076143802,C1461,20071205,0910,WG,9,00800435,3410141,041402011002,112SDGV,2457LB32E,42.55611111,-76.24388889,023,200712050910 EST,200712050910,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1259.9,C1461,NGVD29,Central NY,Production,Sand and Gravel
421313076505601,CM 949,20070919,0900,WG,9,00703233,2630139,041402010601,341JVWF,2457LB32E,42.22030556,-76.84877778,015,200709190900 EST,200709190900,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,926,CM 949,NAVD88,Central NY,Domestic,Bedrock
421313076505601,CM 949,20070919,0910,WG,9,00703234,2630056,041402010601,341JVWF,2457LB32E,42.22030556,-76.84877778,015,200709190910 EST,200709190910,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,926,CM 949,NAVD88,Central NY,Domestic,Bedrock
421201076505301,CM1307,20121029,0800,WG,9,01300181,3040093,041402010601,341JVWF,GC12LK000,42.20013889,-76.84805556,015,201210290800 EST,201210290800,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,1020,CM1307,NGVD29,Central NY,Domestic,Bedrock
421201076505301,CM1307,20121029,0802,WG,9,01300381,,041402010601,341JVWF,,42.20013889,-76.84805556,015,201210290802 EST,201210290802,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,1020,CM1307,NGVD29,Central NY,Domestic,Bedrock
424025076321001,CY  10,20030903,0830,WG,9,00302176,2510256,041402011101,112SDGV,245700326,42.67368218,-76.53577405,011,200309030830 EST,200309030830,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,850,CY  10,NGVD29,Central NY,Production,Sand and Gravel
424025076321001,CY  10,20040127,0830,WG,9,00400488,0290080,041402011101,112SDGV,2457A3900,42.67368218,-76.53577405,011,200401270830 EST,200401270830,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,850,CY  10,NGVD29,Central NY,Production,Sand and Gravel
424025076321001,CY  10,20071204,0800,WG,9,00800438,3410122,041402011101,112SDGV,2457LB32E,42.67368218,-76.53577405,011,200712040800 EST,200712040800,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,850,CY  10,NGVD29,Central NY,Production,Sand and Gravel
424025076321001,CY  10,20071204,0810,WG,9,00800439,3410139,041402011101,112SDGV,2457LB32E,42.67368218,-76.53577405,011,200712040810 EST,200712040810,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,850,CY  10,NGVD29,Central NY,Production,Sand and Gravel
