STAID,LOCAL,DATES,TIMES,MEDIM,STYPE,SAMPL,LABNO,HUNIT,GUNIT,PRJCT,LATDD,LNGDD,CNTYC,DATTD,DATTM,GUERA,GUNNM,GUSER,GUSYS,HDATM,SALTD,SNAME,VDATM,MAJRIVBAS,WELLUSE,WELLCOMPIN,P00025,P00020,P00080,P62971,P00300,P00058,P00059,P00400,P00095,P00010,P72000,P72008,P72004,P84143,P84148,P84147,P84146,P70300,P00900,P00905,P00915,P00925,P00935,P00930,P39086,P00453,P71870,P00405,P00452,P00940,P00950,P71875,P71834,P00955,P00945,P00623,P71846,P00608,P00597,P00631,P71851,P00618,P71856,P00613,P00607,P00671,P00660,P00665,P00602,P00600,P50468,P99596,P31684,P31691,P84385,P31616,P31625,P61215,P78943,P31692,P50569,P99595,P31501,P61213,P84138,P01106,P01105,P01005,P01007,P01010,P01012,P01025,P01027,P01030,P01034,P01035,P01037,P01040,P01042,P01046,P01045,P01049,P01051,P01130,P01132,P01056,P01055,P71890,P71900,P01060,P01062,P01065,P01067,P01075,P01077,P01080,P01082,P01057,P01059,P01085,P01090,P01092,P01095,P01097,P82043,P01000,P01002,P01020,P01145,P01147,P32103,P34541,P34571,P50470,P39732,P38746,P82660,P62850,P04040,P04038,P50355,P49308,P50295,P61030,P62847,P61029,P49260,P49315,P61031,P62848,P50009,P46342,P49313,P49314,P49312,P34253,P39632,P65065,P82686,P50299,P82673,P50300,P61693,P38711,P04029,P49311,P04028,P49310,P82680,P49309,P82674,P61188,P50306,P04039,P49306,P38933,P82687,P49305,P04041,P04031,P49304,P82682,P63778,P63777,P63779,P63780,P62169,P62170,P39572,P38442,P49302,P39381,P62482,P61951,P61588,P49301,P04033,P82677,P49300,P82668,P82663,P82672,P49297,P62167,P62168,P62166,P62483,P61952,P62481,P61694,P38811,P04095,P63784,P63783,P64045,P63785,P50356,P50407,P61695,P39341,P38478,P82666,P39532,P38482,P38487,P50359,P38501,P49296,P82667,P61044,P61043,P39415,P82630,P61697,P82671,P61692,P82684,P49294,P50364,P49293,P49292,P38866,P34653,P39542,P82669,P82683,P82664,P49291,P04037,P62767,P62766,P04024,P82679,P82685,P51195,P49236,P50471,P38538,P82676,P62849,P38548,P04035,P50337,P82670,P82665,P04032,P82675,P82681,P82678,P49235,P82661,P34506,P77652,P34496,P34501,P34536,P34566,P34030,P32101,P67440,P50305,P34301,P77093,P32105,P34668,P34423,P81576,P81577,P34371,P68831,P85574,P78032,P50005,P85795,P00680,P77135,P32730,P77128,P50004,P34475,P32102,P34010,P34546,P32104,P39180,P34488,P32106,P90867,P90851,P39175,P01519,P63018,P03519,P85817,P76002,P82303,P75985,P07000,P22703,P28011
423322076143802,C1461,20071205,0900,WG,9,00800434,3410123,041402011002,112SDGV,2457LB32E,42.55611111,-76.24388889,023,200712050900 EST,200712050900,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1259.9,C1461,NGVD29,Central NY,Production,Sand and Gravel,,,5,,9.1,,,7.3,483,8.3,1260,127.00,,,,,,267,199,32,58.2,12.9,0.91,18.3,,,,16,,33.0,E0.07,,,7.33,14.0,<0.14,<0.026,<0.02,,4.70,20.8,4.70,<0.007,<0.002,<0.14,E0.003,E0.010,,<4.8,,,,,<1,,,,<1,,10,,,,<1,,,<4.0,,30.8,,<0.04,,<0.014,,E0.26,,<0.04,,<1.2,<8.0,<6.0,,2.00,,5.04,<0.40,<0.8,,<0.010,,<0.08,,0.18,,<0.020,,97.2,,<0.08,,,<2.0,,<0.14,,,<0.60,12,,E0.044,<0.2,<0.1,<0.1,,,,<0.0020,<0.02,E0.003,,,,,<0.02,<0.02,<0.02,<0.006,,<0.02,<0.02,0.02,<0.006,,,,<0.0020,<0.007,,<0.120,,<0.004,,,,,,<0.0020,,<0.060,,<0.020,,,,,<0.0050,<0.010,,<0.020,,,<0.0030,<0.02,<0.02,<0.02,<0.02,<0.029,<0.012,<0.0050,,,<0.009,<0.02,<0.02,<0.02,,,<0.040,,<0.0020,<0.009,<0.012,,<0.013,<0.024,<0.020,<0.02,<0.02,<0.02,,,<0.0100,<0.02,<0.02,<0.02,<0.02,,,,<0.0060,,<0.060,<0.016,,,,,,<0.008,<0.02,1.51,<0.010,<0.012,,<0.0020,,<0.018,,,,,,<0.003,<0.010,<0.0044,<0.012,<0.040,,<0.008,<0.02,<0.05,<0.006,<0.006,<0.040,,,,,<0.0040,<0.02,,<0.006,,<0.016,<0.018,,<0.018,<0.010,<0.0060,,<0.006,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,,<0.1,<0.1,<0.2,<0.2,<0.2,<0.2,<0.2,<0.1,,,<0.2,<0.2,<0.2,<1.0,<0.1,<4,<0.1,<0.1,<0.1,<0.2,<0.1,<0.1,<0.2,<0.1,<0.2,<0.1,<0.6,,<0.2,,,,,24,550,,,,0.137
423322076143802,C1461,20071205,0910,WG,9,00800435,3410141,041402011002,112SDGV,2457LB32E,42.55611111,-76.24388889,023,200712050910 EST,200712050910,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1259.9,C1461,NGVD29,Central NY,Production,Sand and Gravel,,,,,,,,,,,1260,127.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.200,<0.02,<0.02,,,<0.06,<0.08,<0.040,<0.040,,,,,,,,,,,<0.08,<0.060,<0.12,,<0.040,,,<0.04,,<0.040,<0.06,<0.04,<0.02,,,<0.04,,<0.020,,<0.10,,,,,,<0.06,,<0.02,<0.02,,,,,,,,,<0.04,<0.02,,,,,<0.04,,,<0.04,,,,<0.04,,,,,,,<0.06,<0.04,,,,,,,<0.04,<0.060,,<0.02,,,<0.06,<0.06,<0.02,<0.040,<0.120,,,,,,,,<0.12,,<0.02,<0.10,<0.02,<0.04,<0.12,,,,,,,,,,,,,,<0.040,<0.040,<0.040,,,<0.02,,,<0.040,,<0.040,,,,<0.08,,,,,,,,,,,<0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421313076505601,CM 949,20070919,0900,WG,9,00703233,2630139,041402010601,341JVWF,2457LB32E,42.22030556,-76.84877778,015,200709190900 EST,200709190900,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,926,CM 949,NAVD88,Central NY,Domestic,Bedrock,,,5,,<0.3,,,7.5,379,14.8,926,99.00,,,,,,219,141,,39.7,10.0,0.88,28.9,,,,11,,17.5,0.19,1.0,,11.5,5.27,0.18,0.226,0.18,,<0.06,<0.266,<0.060,<0.007,<0.002,M,0.047,0.144,,<0.24,,,,,<1,,,,<1,,19,,,,<1,,,15.1,,911,,<0.06,,<0.018,,<0.60,,<0.04,,6.3,414,438,,0.29,,11.8,56.2,60.4,,<0.010,,0.09,,E0.08,,<0.016,,587,,<0.18,,,3.3,,<0.20,,,E0.13,62,,<0.080,<0.2,<0.1,<0.1,,,,<0.0020,<0.02,<0.014,,,,,<0.02,<0.02,<0.02,<0.006,,<0.02,<0.02,<0.02,<0.005,,,,<0.0020,<0.007,,<0.080,,<0.006,,,,,,<0.0020,,<0.060,,<0.020,,,,,<0.0050,<0.010,,<0.018,,,<0.0030,<0.02,<0.02,<0.02,<0.02,<0.029,<0.012,<0.0050,,,<0.009,<0.02,<0.02,<0.02,,,<0.020,,<0.0020,<0.009,<0.012,,<0.013,<0.024,<0.016,<0.02,<0.02,<0.02,,,<0.0060,<0.02,<0.02,<0.02,<0.02,,,,<0.0040,,<0.060,<0.016,,,,,,<0.008,<0.02,<0.02,<0.010,<0.012,,<0.0020,,<0.018,,,,,,<0.003,<0.010,<0.0040,<0.020,<0.020,,<0.008,<0.02,<0.05,<0.010,<0.011,<0.020,,,,,<0.0040,<0.02,,<0.006,,<0.016,<0.040,,<0.012,<0.010,<0.0060,,<0.006,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,,<0.1,<0.1,<0.2,<0.2,<0.2,<0.2,<0.2,<0.1,,,<0.2,<0.2,<0.2,<1.0,<0.1,<4,<0.1,<0.1,<0.1,<0.2,<0.1,<0.1,<0.2,<0.1,<0.2,<0.1,<0.6,,<0.2,,,,,22,330,,,,<0.012
421313076505601,CM 949,20070919,0910,WG,9,00703234,2630056,041402010601,341JVWF,2457LB32E,42.22030556,-76.84877778,015,200709190910 EST,200709190910,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,926,CM 949,NAVD88,Central NY,Domestic,Bedrock,,,,,,,,,,,926,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.04,<0.02,,,<0.02,<0.08,,<0.020,,,,,,<0.060,,,,,,,<0.04,,<0.040,,,,,<0.020,<0.06,<0.02,<0.04,<0.12,,,,<0.060,,<0.10,<0.080,,,,,<0.06,,<0.06,<0.02,,,,,,,,,<0.08,<0.04,,,,,<0.04,<0.04,,<0.04,,,,<0.04,,,,,,,<0.06,<0.04,,,,,,<0.04,<0.04,<0.060,,<0.04,,,<0.06,<0.20,<0.04,<0.040,<0.060,,,,,,<0.14,,<0.06,,<0.02,<0.10,<0.04,<0.04,,,,,,,<0.12,,,,,,,,<0.060,<0.060,<0.040,,,<0.04,,<0.060,<0.040,,<0.040,,,,<0.04,,,,,,,,,,,<0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421201076505301,CM1307,20121029,0800,WG,9,01300181,3040093,041402010601,341JVWF,GC12LK000,42.20013889,-76.84805556,015,201210290800 EST,201210290800,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,1020,CM1307,NGVD29,Central NY,Domestic,Bedrock,,,<1,,1.2,,,8.6,548,12.7,1020,151.00,,,,,,323,269,2,72.4,21.5,1.31,19.9,,,,1.3,,4.03,0.24,U,,15.8,29.8,0.28,0.077,0.06,,0.155,0.631,0.143,0.041,0.012,0.22,0.010,0.029,,0.43,,,<1,,,,,,<1,,2,,,,12,,,<3.8,,63.7,,<0.02,,<0.016,,<0.30,,0.05,,8.9,26.4,1290,,0.28,,33.7,456,422,,<0.005,,0.42,,0.22,,<0.015,,771,,<0.06,,,26.2,,<0.18,,,7.3,168,,<0.050,<0.2,<0.1,<0.1,,,,<0.0060,,<0.010,,,,,,,,<0.010,,,,,<0.008,,,,<0.0040,<0.008,,<0.120,,<0.014,,,,,,<0.0040,,<0.060,,<0.060,,,,,<0.0100,<0.010,,<0.022,,,<0.0076,,,,,<0.029,<0.012,<0.0060,,,<0.008,,,,,,<0.040,,<0.0056,<0.006,<0.016,,<0.016,<0.024,<0.018,,,,,,<0.0048,,,,,,,,<0.0040,,<0.060,<0.016,,,,,,<0.008,,,<0.012,<0.012,,<0.0080,,<0.010,,,,,,<0.005,<0.020,<0.0160,<0.012,<0.020,,<0.012,,,<0.006,<0.010,<0.020,,,,,<0.0080,,,<0.006,,<0.028,<0.024,,<0.018,<0.016,<0.0046,,<0.018,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,,<0.1,<0.1,<0.2,<0.2,<0.2,<0.2,<0.2,<0.1,,,<0.2,<0.2,<0.2,0.6,<0.1,,<0.1,<0.1,<0.1,<0.2,<0.1,<0.1,<0.2,<0.1,<0.2,<0.1,<0.6,,<0.2,1.3,,,R0.7,,155,,,,0.301
421201076505301,CM1307,20121029,0802,WG,9,01300381,,041402010601,341JVWF,,42.20013889,-76.84805556,015,201210290802 EST,201210290802,Paleozoic,Java-West Falls Formation,Upper,Devonian,NAD83,1020,CM1307,NGVD29,Central NY,Domestic,Bedrock,,,,0.3,,,,,,,1020,151.00,,,,,,,,,,,,,,,,34.8,,,,,,,,,,,23.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424025076321001,CY  10,20030903,0830,WG,9,00302176,2510256,041402011101,112SDGV,245700326,42.67368218,-76.53577405,011,200309030830 EST,200309030830,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,850,CY  10,NGVD29,Central NY,Production,Sand and Gravel,,,,,,,,,,,850,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.0060,,E0.088,,,,,<0.05,<0.05,<0.05,<0.006,,<0.05,<0.05,<0.05,<0.005,,,,<0.0046,0.097,,<0.050,,<0.010,,,,,,<0.0020,,<0.041,,<0.020,,,,,<0.0050,<0.006,,<0.018,,,<0.0030,,,,,<0.009,<0.004,<0.0050,,,<0.005,<0.05,<0.05,,,,<0.021,,<0.0020,<0.009,<0.005,,<0.005,<0.005,<0.007,<0.05,<0.05,,,,<0.0027,,,,,,,,<0.0040,,<0.035,<0.027,,,,,,<0.006,0.16,1.57,E0.011,<0.006,,<0.0016,,<0.007,,,,,,<0.003,<0.010,<0.0041,<0.022,<0.011,,0.024,<0.05,<0.05,<0.010,<0.011,<0.023,,,,,<0.0041,,,0.006,,<0.016,<0.034,,<0.017,<0.005,<0.0023,,<0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424025076321001,CY  10,20040127,0830,WG,9,00400488,0290080,041402011101,112SDGV,2457A3900,42.67368218,-76.53577405,011,200401270830 EST,200401270830,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,850,CY  10,NGVD29,Central NY,Production,Sand and Gravel,,,,,,,,,,,850,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.0060,<0.02,E0.041,,,,,<0.02,<0.02,<0.02,<0.006,,<0.02,<0.02,<0.02,<0.005,,,,<0.0046,0.041,,<0.050,,<0.010,,,,,,<0.0020,,<0.041,,<0.020,,,,,<0.0050,<0.006,,<0.018,,,<0.0030,,,,,<0.009,<0.004,<0.0050,,,<0.005,<0.02,<0.02,<0.02,,,<0.021,,<0.0020,<0.009,<0.005,,<0.005,<0.005,<0.007,<0.02,<0.02,<0.02,,,<0.0027,,,,,,,,<0.0040,,<0.035,<0.027,,,,,,<0.006,0.02,0.24,E0.007,<0.006,,<0.0016,,<0.007,,,,,,<0.003,<0.010,<0.0041,<0.022,<0.011,,0.026,<0.02,<0.05,<0.010,<0.011,<0.023,,,,,<0.0041,<0.02,,0.006,,<0.016,<0.034,,<0.017,<0.005,<0.0023,,<0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424025076321001,CY  10,20071204,0800,WG,9,00800438,3410122,041402011101,112SDGV,2457LB32E,42.67368218,-76.53577405,011,200712040800 EST,200712040800,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,850,CY  10,NGVD29,Central NY,Production,Sand and Gravel,,,5,,5.5,,,7.2,658,12.8,850,31.00,,,,,,383,319,46,91.1,22.2,1.74,14.2,,,,34,,26.7,0.14,,,5.48,35.3,<0.14,<0.026,<0.02,,2.79,12.4,2.79,<0.007,<0.002,<0.14,E0.004,E0.014,,<2.9,,,,,<1,,,,<1,,4,,,,<1,,,13.8,,63.2,,<0.04,,<0.014,,<0.40,,E0.02,,2.7,<8.0,<6.0,,0.23,,2.71,<0.40,<0.8,,<0.010,,0.63,,0.40,,<0.020,,180,,E0.05,,,2.0,,<0.14,,,<0.60,18,,0.196,<0.2,<0.1,<0.1,,,,<0.0020,0.02,E0.055,,,,,<0.02,<0.02,<0.02,<0.006,,<0.02,<0.02,0.03,<0.006,,,,<0.0020,0.088,,<0.120,,<0.004,,,,,,<0.0020,,<0.060,,<0.020,,,,,<0.0050,<0.010,,<0.020,,,<0.0030,<0.02,<0.02,<0.02,<0.02,<0.029,<0.012,<0.0050,,,<0.009,<0.02,<0.02,<0.02,,,<0.040,,<0.0020,<0.009,<0.012,,<0.013,<0.024,<0.020,<0.02,<0.02,<0.02,,,<0.0100,<0.02,<0.02,<0.02,<0.02,,,,<0.0060,,<0.060,<0.016,,,,,,<0.008,0.22,0.68,E0.006,<0.012,,<0.0020,,<0.018,,,,,,<0.003,<0.010,<0.0051,<0.012,<0.040,,0.028,<0.02,<0.05,<0.006,<0.006,<0.040,,,,,<0.0040,<0.02,,0.006,,<0.016,<0.018,,<0.018,<0.010,<0.0060,,<0.006,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.3,,,<0.1,<0.1,0.2,<0.2,<0.2,<0.2,<0.2,<0.1,,,<0.2,<0.2,<0.2,<1.0,<0.1,<4,<0.1,<0.1,<0.1,<0.2,<0.1,<0.1,<0.2,<0.1,<0.2,0.4,<1.1,0.9,<0.2,,,,,24,450,,,,0.756
424025076321001,CY  10,20071204,0810,WG,9,00800439,3410139,041402011101,112SDGV,2457LB32E,42.67368218,-76.53577405,011,200712040810 EST,200712040810,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,850,CY  10,NGVD29,Central NY,Production,Sand and Gravel,,,,,,,,,,,850,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.200,<0.02,<0.02,,,E0.03,<0.08,0.040,<0.040,,,,,,,,,,,<0.08,<0.060,<0.12,,E0.028,,,<0.04,,<0.040,<0.06,<0.04,<0.02,,,<0.04,,<0.020,,<0.10,,,,,,<0.06,,<0.02,<0.02,,,,,,,,,<0.04,<0.02,,,,,<0.04,,,<0.04,,,,<0.04,,,,,,,<0.06,<0.04,,,,,,,<0.04,<0.060,,<0.02,,,<0.06,<0.06,<0.02,<0.040,<0.120,,,,,,,,<0.12,,<0.02,<0.10,<0.02,<0.04,<0.12,,,,,,,,,,,,,,<0.040,<0.040,<0.040,,,<0.02,,,<0.040,,<0.040,,,,<0.08,,,,,,,,,,,<0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
